i,j,VP,VS,VP_VRH,VS_VRH,dlnvp,dlnvs,dlnvsp,phi,CS,CA,phi2
   5.1961523294448853      ,   3.0000000000000000      ,   8.0703961971275646      ,   4.5582400909908136      ,   8.1703843322496432      ,   4.7747322834569559      ,   3.4178819475735700E-002 ,   4.4447788626607636E-002 ,   1.3004483276013119      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   5.1961523294448853      ,   6.0000000000000000      ,   8.0663647917024868      ,   4.5540533695691421      ,   8.1699611914984853      ,   4.7701268395038650      ,   3.4178819475735700E-002 ,   4.4447788626607636E-002 ,   1.3004483276013119      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   5.1961523294448853      ,   9.0000000000000000      ,   8.0623226145684050      ,   4.5498574047864819      ,   8.1684936301627715      ,   4.7648498203223895      ,   3.4178819475735700E-002 ,   4.4447788626607636E-002 ,   1.3004483276013119      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   5.1961523294448853      ,   12.000000000000000      ,   8.0582785622968718      ,   4.5456576607567438      ,   8.1661717924361561      ,   4.7590201378314054      ,   3.4178819475735700E-002 ,   4.4447788626607636E-002 ,   1.3004483276013119      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   5.1961523294448853      ,   15.000000000000000      ,   8.0542468199844777      ,   4.5414628695548869      ,   8.1631583502780600      ,   4.7527396510555544      ,   3.4178819475735700E-002 ,   4.4447788626607636E-002 ,   1.3004483276013119      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   5.1961523294448853      ,   18.000000000000000      ,   8.0502415482922061      ,   4.5372817629758293      ,   8.1595849673433545      ,   4.7460912323133453      ,   3.4178819475735700E-002 ,   4.4447788626607636E-002 ,   1.3004483276013119      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   5.1961523294448853      ,   21.000000000000000      ,   8.0462768482531963      ,   4.5331230508979559      ,   8.3026657005758295      ,   4.7993554344419040      ,   3.4178819475735700E-002 ,   4.4447788626607636E-002 ,   1.3004483276013119      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   5.1961523294448853      ,   24.000000000000000      ,   8.0423667261043033      ,   4.5289953995908663      ,   8.2985738034607888      ,   4.7927227802001990      ,   3.4178819475735700E-002 ,   4.4447788626607636E-002 ,   1.3004483276013119      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   5.1961523294448853      ,   27.000000000000000      ,   8.0385250582898244      ,   4.5249074100576694      ,   8.2942237794810509      ,   4.7859118302098560      ,   3.4178819475735700E-002 ,   4.4447788626607636E-002 ,   1.3004483276013119      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   5.1961523294448853      ,   30.000000000000000      ,   8.0347655567866685      ,   4.5208675965033187      ,   8.2896769036305695      ,   4.7789619837878075      ,   3.4178819475735700E-002 ,   4.4447788626607636E-002 ,   1.3004483276013119      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   5.1961523294448853      ,   33.000000000000000      ,   8.0311017349003695      ,   4.5168843650210873      ,   8.2849847086926651      ,   4.7719064008470040      ,   3.4178819475735700E-002 ,   4.4447788626607636E-002 ,   1.3004483276013119      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   5.1961523294448853      ,   36.000000000000000      ,   8.0275468736804143      ,   4.5129659925892263      ,   8.2801927674894138      ,   4.7647748269912116      ,   3.4178819475735700E-002 ,   4.4447788626607636E-002 ,   1.3004483276013119      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   5.1961523294448853      ,   39.000000000000000      ,   8.0241139891015720      ,   4.5091206064694260      ,   8.2753412718474468      ,   4.7575931165854763      ,   3.4178819475735700E-002 ,   4.4447788626607636E-002 ,   1.3004483276013119      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   5.1961523294448853      ,   42.000000000000000      ,   8.0208158001551055      ,   4.5053561640974573      ,   8.2704637182960550      ,   4.7503836429366597      ,   3.4178819475735700E-002 ,   4.4447788626607636E-002 ,   1.3004483276013119      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   5.1961523294448853      ,   45.000000000000000      ,   8.0176646979900390      ,   4.5016804335547080      ,   8.2655923521160659      ,   4.7431674362210856      ,   3.4178819475735700E-002 ,   4.4447788626607636E-002 ,   1.3004483276013119      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   5.1961523294448853      ,   48.000000000000000      ,   8.0146727162399394      ,   4.4981009747069507      ,   8.2607560467745031      ,   4.7359635726241978      ,   3.4178819475735700E-002 ,   4.4447788626607636E-002 ,   1.3004483276013119      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   5.1961523294448853      ,   51.000000000000000      ,   8.0118515026650510      ,   4.4946251210938222      ,   8.2559800944424175      ,   4.7287890845740321      ,   3.4178819475735700E-002 ,   4.4447788626607636E-002 ,   1.3004483276013119      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
